run,lumi,event,is_SL,is_DL,lep1_pt,lep1_eta,lep1_phi,lep1_iso,lep1_pdgId,lep2_pt,lep2_eta,lep2_phi,lep2_iso,lep2_pdgId,mll, mll_passed,jet1_pt,jet2_pt,jet3_pt,jet4_pt,jet1_CSVv2,jet2_CSVv2,jet3_CSVv2,jet4_CSVv2,MET_pt,MET_phi,met_passed,n_jets,n_btags,bWeight,ttHFCategory,final_discriminant1,final_discriminant2,n_fatjets,pt_fatjet_1,pt_fatjet_2,pt_nonW_1,pt_nonW_2,pt_W1_1,pt_W1_2,pt_W2_1,pt_W2_2,pt_top_1,pt_top_2,m_top_1,m_top_2,higgstag_fatjet_1,higgstag_fatjet_2,csv2_fatjet_1,csv2_fatjet_2
1,1372,273496,1,0,30.2658,1.03463,2.09346,0.0161537,-11,0,0,0,0,0,0,0,77.1116,46.4118,34.9869,30.8425,0.999991,0.491281,0.968752,0.339614,23.5777,0.451942,0,5,2,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273511,1,0,87.1696,-0.639725,-0.725847,0.011246,-13,0,0,0,0,0,0,0,240.237,208.929,162.126,126.702,0.178355,0.979928,0.378059,0.973494,268.314,-1.31893,1,7,4,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273525,1,0,118.181,0.0604372,2.21021,0.00600867,13,0,0,0,0,0,0,0,129.922,111.525,39.7448,31.5675,0.960262,0.977634,0.998112,0.958793,105.42,1.79472,1,4,4,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273539,1,0,228.868,0.520509,0.233765,0.0196731,11,0,0,0,0,0,0,0,305.863,124.721,110.787,68.3894,0.274614,0.197424,0.87944,0.974017,106.623,0.674716,1,6,2,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273547,1,0,43.0378,-1.92453,-1.00774,0.00925347,-11,0,0,0,0,0,0,0,303.235,296.327,166.804,117.926,0.99854,0.102789,0.903431,0.202674,158.073,2.79125,1,5,2,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273562,1,0,63.1711,-1.734,1.1614,0,13,0,0,0,0,0,0,0,143.834,134.842,60.8519,58.1547,0.978172,0.560196,0.252815,0.248221,72.4068,1.11562,1,5,2,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273566,1,0,89.1305,-0.00527934,-1.62068,0.0276167,13,0,0,0,0,0,0,0,238.347,115.604,66.245,41.2969,0.619254,0.997747,-0.1,0.36848,134.653,-1.92335,1,5,2,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273567,1,0,137.252,1.37988,1.94833,0.00424639,11,0,0,0,0,0,0,0,497.115,252.036,237.957,132.908,0.660225,0.93962,0.723669,0.482742,49.4103,-2.48602,1,8,2,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273570,1,0,78.0446,0.239327,3.00904,0,11,0,0,0,0,0,0,0,258.139,222.337,83.6393,51.562,0.160619,0.942163,0.99662,0.997848,16.8443,-2.4434,0,6,3,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1372,273573,1,0,34.4041,1.32094,1.99875,0.0492774,11,0,0,0,0,0,0,0,68.1918,50.0249,34.2177,33.19,0.984928,0.0487583,0.94743,0.982837,67.4195,2.38646,1,4,3,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
