run,lumi,event,is_e,is_mu,is_ee,is_emu,is_mumu,n_jets,n_btags,lep1_pt,lep1_iso,lep1_pdgId,lep2_pt,lep2_iso,lep2_pdgId,jet1_pt,jet2_pt,jet1_CSVv2,jet2_CSVv2,jet1_JecSF,jet1_JecSF_up,jet1_JecSF_down,MET_pt,MET_phi,mll,ttHFCategory,PUWeight,bWeight,triggerSF,lepIDSF,lepISOSF,Q2_upup,Q2_downdown,pdf_up,pdf_down
1,9901,1973793,1,0,0,0,0,5,2,47.8834,0.0115,11,-1,-1,-1,92.5676,78.1018,0.7399,0.9858,1.0350,1.0132,0.9868,58.0224,-0.7614,-1,41,-1.0000,0.9901,0.9802,1.0028,0.9929,0.8032,1.3418,1.0210,0.9792
1,9901,1973795,1,0,0,0,0,9,2,151.3954,0.0019,-11,-1,-1,-1,89.5270,86.0460,0.8538,0.2442,1.0518,1.0068,0.9932,68.4206,-0.0266,-1,53,-1.0000,0.9477,1.0014,0.9918,0.9848,0.8379,1.3374,1.0180,0.9820
1,9901,1973797,0,1,0,0,0,7,3,28.5196,0.1044,13,-1,-1,-1,150.2524,79.7165,0.1022,0.1298,1.0492,1.0083,0.9917,111.5762,-1.1519,-1,53,-1.0000,0.8738,0.9642,0.9782,0.9937,0.7717,1.5921,1.0199,0.9802
1,9901,1973815,0,0,0,1,0,5,2,78.7225,0.0000,-11,18.5910,0.0693,13,215.2049,86.8073,0.2147,0.2557,1.1149,1.0070,0.9930,123.4895,-1.2236,53.9249,53,-1.0000,1.4491,0.9599,0.9666,0.9731,0.7825,1.5315,1.0168,0.9831
1,9901,1973832,0,1,0,0,0,8,3,39.8597,0.0846,-13,-1,-1,-1,76.5821,75.1416,0.8566,0.0907,1.1546,1.0167,0.9833,93.5640,0.1905,-1,53,-1.0000,0.2346,0.9763,0.9805,0.9946,0.7595,1.6024,1.0163,0.9836
1,9901,1973840,0,1,0,0,0,7,3,164.1275,0.0000,13,-1,-1,-1,598.4533,342.3824,0.9554,0.1934,1.0611,1.0115,0.9885,34.8740,2.8977,-1,52,-1.0000,0.5502,0.9826,0.9791,0.9982,0.8342,1.4842,1.0253,0.9749
1,9901,1973852,1,0,0,0,0,4,3,197.0796,0.0082,11,-1,-1,-1,276.4866,227.1575,0.8551,0.9881,1.0512,1.0070,0.9930,131.7838,-1.7722,-1,53,-1.0000,1.0272,1.0014,0.9918,0.9848,0.7840,1.3965,1.0221,0.9780
1,9901,1973858,1,0,0,0,0,5,4,40.0316,0.0000,-11,-1,-1,-1,163.3761,118.8029,0.8673,0.9585,1.0667,1.0079,0.9921,92.9614,-2.9643,-1,53,-1.0000,0.8940,0.9770,0.9865,0.9909,0.8101,1.3751,1.0295,0.9704
1,9901,1973871,1,0,0,0,0,5,3,249.5278,0.0009,11,-1,-1,-1,161.0655,149.3638,0.9948,0.1231,1.0620,1.0069,0.9931,95.2619,-2.7233,-1,51,-1.0000,0.7118,0.9947,0.9995,0.9899,0.8166,1.4446,1.0227,0.9775
1,9901,1973881,1,0,0,0,0,5,2,68.1046,0.0000,11,-1,-1,-1,67.6839,48.5369,0.9943,0.9848,1.0356,1.0156,0.9844,18.8303,1.1478,-1,0,-1.0000,0.9773,0.9854,0.9995,0.9899,0.8251,1.3374,1.0254,0.9745
1,9901,1973894,0,1,0,0,0,6,2,100.6660,0.0148,-13,-1,-1,-1,161.8367,106.5642,0.7094,0.8884,1.1220,1.0080,0.9920,116.5330,0.3884,-1,53,-1.0000,0.7152,0.9826,0.9791,0.9982,0.7645,1.6491,1.0310,0.9689
1,9901,1973904,0,1,0,0,0,6,4,46.8569,0.0997,-13,-1,-1,-1,158.2500,99.7679,0.9601,0.8608,1.0583,1.0080,0.9920,30.7170,0.2530,-1,53,-1.0000,0.5398,0.9814,0.9794,0.9960,0.8300,1.3529,1.0217,0.9785
1,9901,1973905,1,0,0,0,0,6,3,53.0401,0.0396,11,-1,-1,-1,88.7903,73.0733,0.9938,0.8790,1.1421,1.0148,0.9852,42.4775,-2.2393,-1,53,-1.0000,0.5036,0.9645,0.9497,0.9857,0.8596,1.2588,1.0225,0.9776
1,9901,1973910,1,0,0,0,0,4,3,50.7665,0.0000,11,-1,-1,-1,131.1826,116.0490,0.8433,0.8367,1.0691,1.0097,0.9903,25.3084,0.2303,-1,53,-1.0000,0.7092,0.9645,0.9497,0.9857,0.7182,1.7244,1.0232,0.9766
1,9901,1973919,0,1,0,0,0,4,3,32.7009,0.0040,13,-1,-1,-1,119.0936,52.3339,0.9754,0.8576,1.0281,1.0104,0.9896,215.0501,0.4107,-1,51,-1.0000,0.7341,0.9763,0.9805,0.9946,0.7954,1.3732,1.0178,0.9822
1,9901,1973926,0,1,0,0,0,6,2,43.0290,0.0781,13,-1,-1,-1,69.3704,49.2072,0.9511,0.1317,1.0679,1.0176,0.9824,28.9356,-0.3920,-1,53,-1.0000,0.8310,0.9780,0.9728,0.9983,0.8027,1.3942,1.0206,0.9795
1,9901,1973932,0,1,0,0,0,6,2,250.8027,0.0382,13,-1,-1,-1,370.2605,284.9254,0.9950,0.1592,1.0601,1.0083,0.9917,118.0893,-0.6254,-1,51,-1.0000,0.6522,0.9826,0.9791,0.9982,0.8130,1.4914,1.0264,0.9739
1,9901,1973936,1,0,0,0,0,5,2,93.3383,0.0000,-11,-1,-1,-1,64.3225,60.7915,0.8880,0.1135,1.1136,1.0112,0.9888,38.2029,-2.7079,-1,53,-1.0000,0.7476,0.9527,0.9725,0.9897,0.7835,1.7204,1.0190,0.9808
1,9901,1973938,1,0,0,0,0,6,2,41.8244,0.0000,11,-1,-1,-1,173.5269,139.4051,0.9362,0.1591,1.0317,1.0074,0.9926,77.6262,2.9262,-1,51,-1.0000,0.9754,0.9675,0.9528,1.0000,0.8239,1.4064,1.0217,0.9785
1,9901,1973970,0,0,0,0,1,5,3,38.9342,0.0520,13,16.0597,0.0542,-13,53.7423,44.3648,0.9966,0.1754,1.0219,1.0213,0.9787,100.3920,-2.9092,50.7042,53,-1.0000,0.7603,0.9300,0.9473,0.9856,0.7530,1.6934,1.0213,0.9789
1,9901,1973971,1,0,0,0,0,5,2,155.3307,0.0000,-11,-1,-1,-1,187.0662,170.1728,0.6168,0.9698,1.0408,1.0070,0.9930,44.2555,0.7471,-1,53,-1.0000,0.8967,1.0014,0.9918,0.9848,0.8186,1.4002,1.0221,0.9781
1,9901,1973976,1,0,0,0,0,5,3,54.4295,0.0038,-11,-1,-1,-1,79.9629,58.5050,0.9981,0.2146,1.1063,1.0157,0.9843,61.1967,1.6226,-1,53,-1.0000,0.9558,0.9926,0.9860,0.9868,0.8477,1.2806,1.0213,0.9787
1,10741,2141176,1,0,0,0,0,6,3,162.7796,0.0013,-11,-1,-1,-1,126.8464,104.9057,0.9585,0.9630,1.1299,1.0072,0.9928,102.0819,-1.1552,-1,51,-1.0000,0.6434,1.0295,0.9580,0.9857,0.7993,1.4029,1.0273,0.9727
1,10741,2141182,1,0,0,0,0,5,2,37.4090,0.0000,11,-1,-1,-1,112.2408,99.1266,0.9302,0.4522,1.0459,1.0111,0.9889,85.6097,-2.6832,-1,53,-1.0000,0.7257,0.9776,0.9850,0.9939,0.7801,1.4909,1.0224,0.9778
1,10741,2141199,0,1,0,0,0,4,3,43.8540,0.0170,-13,-1,-1,-1,143.6389,78.1289,0.9917,0.9945,1.0435,1.0086,0.9914,75.8585,-1.5819,-1,53,-1.0000,0.9359,0.9898,0.9928,0.9982,0.6921,1.5313,1.0229,0.9773
